INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152049469,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,809,,2015-06-15 00:45:00,2015,6,Monday,0,Part Two,BAGNAL ST,42.3595689,-71.13598188,"(42.35956890, -71.13598188)"
I152049585,02906,Violations,VAL - OPERATING UNREG/UNINS  CAR,A1,69,,2015-06-15 01:02:00,2015,6,Monday,1,Part Two,BEACON ST,42.35564426,-71.07168077,"(42.35564426, -71.07168077)"
I152049480,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,284,,2015-06-15 01:07:00,2015,6,Monday,1,Part Three,COLUMBUS AVE,42.340176,-71.0823265,"(42.34017600, -71.08232650)"
I152049472,03410,Towed,TOWED MOTOR VEHICLE,B2,324,,2015-06-15 01:15:00,2015,6,Monday,1,Part Three,DANUBE ST,42.31743922,-71.07547845,"(42.31743922, -71.07547845)"
I152049476,02905,Violations,VAL - OPERATING WITHOUT LICENSE,A7,11,,2015-06-15 01:24:00,2015,6,Monday,1,Part Two,CHELSEA ST,42.38391569,-71.02266216,"(42.38391569, -71.02266216)"
I152049479,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,796,,2015-06-15 01:30:00,2015,6,Monday,1,Part Two,COMMONWEALTH AVE,42.35073963,-71.13047909,"(42.35073963, -71.13047909)"
I152049595,02670,Criminal Harassment,CRIMINAL HARASSMENT,C6,915,,2015-06-15 01:40:00,2015,6,Monday,1,Part Two,E EIGHTH ST,42.33178053,-71.04941451,"(42.33178053, -71.04941451)"
I152049620,02660,Other,OTHER OFFENSE,E18,494,,2015-06-15 01:40:00,2015,6,Monday,1,Part Two,METROPOLITAN AVE,42.26209214,-71.11670964,"(42.26209214, -71.11670964)"
I152049488,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,502,,2015-06-15 01:53:00,2015,6,Monday,1,Part Three,JEWETT ST,42.28570914,-71.11730039,"(42.28570914, -71.11730039)"
I152049482,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,432,,2015-06-15 01:55:00,2015,6,Monday,1,Part Two,LYFORD ST,42.28802455,-71.08351887,"(42.28802455, -71.08351887)"
I152049482,03119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B3,432,,2015-06-15 01:55:00,2015,6,Monday,1,Part Three,LYFORD ST,42.28802455,-71.08351887,"(42.28802455, -71.08351887)"
I152049486,00619,Larceny,LARCENY ALL OTHERS,C6,914,,2015-06-15 02:00:00,2015,6,Monday,2,Part One,GENERAL LAWRENCE J LOGAN ,42.32720403,-71.05318949,"(42.32720403, -71.05318949)"
I152049483,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D14,782,,2015-06-15 02:00:00,2015,6,Monday,2,Part One,CAMBRIDGE ST,42.35259348,-71.14028431,"(42.35259348, -71.14028431)"
I152049484,02905,Violations,VAL - OPERATING WITHOUT LICENSE,A7,16,,2015-06-15 02:11:00,2015,6,Monday,2,Part Two,CHELSEA ST,42.38453183,-71.02232294,"(42.38453183, -71.02232294)"
I152049607,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,115,,2015-06-15 02:12:00,2015,6,Monday,2,Part One,LINCOLN ST,42.35201794,-71.05811581,"(42.35201794, -71.05811581)"
I152049485,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,444,,2015-06-15 02:45:00,2015,6,Monday,2,Part One,ESMOND ST,42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
I152049485,03125,Warrant Arrests,WARRANT ARREST,B3,444,,2015-06-15 02:45:00,2015,6,Monday,2,Part Three,ESMOND ST,42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
I152049490,03115,Investigate Person,INVESTIGATE PERSON,C11,352,,2015-06-15 02:47:00,2015,6,Monday,2,Part Three,DITSON ST,42.30108481,-71.06390782,"(42.30108481, -71.06390782)"
I152050209,03201,Property Lost,PROPERTY - LOST,D14,800,,2015-06-15 03:00:00,2015,6,Monday,3,Part Three,GARDNER ST,42.35361371,-71.12967302,"(42.35361371, -71.12967302)"
I152049592,00724,Auto Theft,AUTO THEFT,C11,345,,2015-06-15 03:00:00,2015,6,Monday,3,Part One,MONTELLO ST,42.30242197,-71.06122871,"(42.30242197, -71.06122871)"
I152049489,03114,Investigate Property,INVESTIGATE PROPERTY,C11,404,,2015-06-15 03:22:00,2015,6,Monday,3,Part Three,GALLIVAN BLVD,42.27925266,-71.06821603,"(42.27925266, -71.06821603)"
I152049662,00619,Larceny,LARCENY ALL OTHERS,C6,191,,2015-06-15 04:48:00,2015,6,Monday,4,Part One,DORCHESTER AVE,42.3290376,-71.05694505,"(42.32903760, -71.05694505)"
I152049493,01402,Vandalism,VANDALISM,B3,444,,2015-06-15 05:26:00,2015,6,Monday,5,Part Two,ESMOND ST,42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
I152049770,03201,Property Lost,PROPERTY - LOST,E5,719,,2015-06-15 06:05:00,2015,6,Monday,6,Part Three,SUMMER ST,42.2764171,-71.16248814,"(42.27641710, -71.16248814)"
I152049495,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,321,,2015-06-15 06:53:00,2015,6,Monday,6,Part Three,WARREN ST,42.31250552,-71.08314735,"(42.31250552, -71.08314735)"
I152050200,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D14,774,,2015-06-15 07:00:00,2015,6,Monday,7,Part Two,LOTHIAN RD,42.34037301,-71.15388143,"(42.34037301, -71.15388143)"
I152049497,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,564,,2015-06-15 07:10:00,2015,6,Monday,7,Part Three,WASHINGTON ST,42.29492396,-71.11910662,"(42.29492396, -71.11910662)"
I152049520,03410,Towed,TOWED MOTOR VEHICLE,D4,148,,2015-06-15 07:17:00,2015,6,Monday,7,Part Three,GREENWICH PARK,42.34262866,-71.08051921,"(42.34262866, -71.08051921)"
I152049507,03114,Investigate Property,INVESTIGATE PROPERTY,A1,70,,2015-06-15 07:30:00,2015,6,Monday,7,Part Three,LOUISBURG SQ,42.3584724,-71.06861909,"(42.35847240, -71.06861909)"
I152049702,01874,Drug Violation,DRUGS - OTHER,B2,282,,2015-06-15 07:30:00,2015,6,Monday,7,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I152049499,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,490,,2015-06-15 07:31:00,2015,6,Monday,7,Part Three,CUMMINS HWY,42.275316,-71.11081942,"(42.27531600, -71.11081942)"
I152049504,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,D4,154,,2015-06-15 07:34:00,2015,6,Monday,7,Part Three,W NEWTON ST,42.34225888,-71.07749696,"(42.34225888, -71.07749696)"
I152049502,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,472,,2015-06-15 07:45:00,2015,6,Monday,7,Part One,WOODHAVEN ST,42.27105479,-71.09753898,"(42.27105479, -71.09753898)"
I152049751,01402,Vandalism,VANDALISM,D4,137,,2015-06-15 08:00:00,2015,6,Monday,8,Part Two,NEWBURY ST,42.3494205,-71.083158,"(42.34942050, -71.08315800)"
I152053893,00619,Larceny,LARCENY ALL OTHERS,D4,172,,2015-06-15 08:00:00,2015,6,Monday,8,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I152052877,00724,Auto Theft,AUTO THEFT,B3,439,,2015-06-15 08:00:00,2015,6,Monday,8,Part One,STRATTON ST,42.28928493,-71.08667781,"(42.28928493, -71.08667781)"
I152049501,03125,Warrant Arrests,WARRANT ARREST,A1,123,,2015-06-15 08:00:00,2015,6,Monday,8,Part Three,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
I152049500,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,356,,2015-06-15 08:00:00,2015,6,Monday,8,Part Three,CHARLES ST,42.29990887,-71.06424768,"(42.29990887, -71.06424768)"
I152049509,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,322,,2015-06-15 08:10:00,2015,6,Monday,8,Part One,WARREN ST,42.31503085,-71.08344018,"(42.31503085, -71.08344018)"
I152049522,01402,Vandalism,VANDALISM,C11,337,,2015-06-15 08:13:00,2015,6,Monday,8,Part Two,ROCK TER,42.30612092,-71.07183167,"(42.30612092, -71.07183167)"
I152049511,00801,Simple Assault,ASSAULT - SIMPLE,C11,257,,2015-06-15 08:15:00,2015,6,Monday,8,Part Two,GLENDALE ST,42.31356107,-71.06520779,"(42.31356107, -71.06520779)"
I152049548,03207,Property Found,PROPERTY - FOUND,A1,107,,2015-06-15 08:20:00,2015,6,Monday,8,Part Three,FEDERAL ST,42.35613296,-71.05663451,"(42.35613296, -71.05663451)"
I152049818,03201,Property Lost,PROPERTY - LOST,B2,327,,2015-06-15 08:30:00,2015,6,Monday,8,Part Three,EMROSE TER,42.3146052,-71.07207475,"(42.31460520, -71.07207475)"
I152049505,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4,270,,2015-06-15 08:33:00,2015,6,Monday,8,Part Three,HARRISON AVE,42.332102,-71.079283,"(42.33210200, -71.07928300)"
I152049530,03410,Towed,TOWED MOTOR VEHICLE,C6,220,,2015-06-15 08:54:00,2015,6,Monday,8,Part Three,OLD HARBOR ST,42.33378771,-71.04747172,"(42.33378771, -71.04747172)"
I152049706,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,463,,2015-06-15 09:00:00,2015,6,Monday,9,Part One,HARVARD ST,42.29260629,-71.08989828,"(42.29260629, -71.08989828)"
I152049555,03410,Towed,TOWED MOTOR VEHICLE,C6,211,,2015-06-15 09:00:00,2015,6,Monday,9,Part Three,D ST,42.34000843,-71.04943154,"(42.34000843, -71.04943154)"
I152052529,00619,Larceny,LARCENY ALL OTHERS,B2,182,,2015-06-15 09:00:00,2015,6,Monday,9,Part One,BATCHELDER ST,42.32249601,-71.0690918,"(42.32249601, -71.06909180)"
I162055778,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,159,,2015-06-15 09:00:00,2015,6,Monday,9,Part Two,DARTMOUTH ST,42.34283015,-71.0737467,"(42.34283015, -71.07374670)"
I152049577,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D14,795,,2015-06-15 09:01:00,2015,6,Monday,9,Part One,ARMINGTON ST,42.3524587,-71.13762608,"(42.35245870, -71.13762608)"
I152049517,03807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,D4,170,,2015-06-15 09:05:00,2015,6,Monday,9,Part Three,WASHINGTON ST,42.337444,-71.07563631,"(42.33744400, -71.07563631)"
I152049518,01402,Vandalism,VANDALISM,B2,321,,2015-06-15 09:10:00,2015,6,Monday,9,Part Two,BLUE HILL AVE,42.30952511,-71.08261838,"(42.30952511, -71.08261838)"
I152049525,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,151,,2015-06-15 09:19:00,2015,6,Monday,9,Part Two,BERKELEY ST,42.3460551,-71.07050669,"(42.34605510, -71.07050669)"
I152049537,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,408,,2015-06-15 09:23:00,2015,6,Monday,9,Part Three,CADDY RD,42.27305614,-71.07374289,"(42.27305614, -71.07374289)"
I152049537,03115,Investigate Person,INVESTIGATE PERSON,B3,408,,2015-06-15 09:23:00,2015,6,Monday,9,Part Three,CADDY RD,42.27305614,-71.07374289,"(42.27305614, -71.07374289)"
I152051075,01402,Vandalism,VANDALISM,E5,564,,2015-06-15 09:28:00,2015,6,Monday,9,Part Two,WASHINGTON ST,42.29348708,-71.12062328,"(42.29348708, -71.12062328)"
I152049519,03125,Warrant Arrests,WARRANT ARREST,A7,28,,2015-06-15 09:39:00,2015,6,Monday,9,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I152049529,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,551,,2015-06-15 09:40:00,2015,6,Monday,9,Part Three,BEECH ST,42.27651058,-71.13417555,"(42.27651058, -71.13417555)"
I152049523,03207,Property Found,PROPERTY - FOUND,A15,54,,2015-06-15 09:56:00,2015,6,Monday,9,Part Three,PEARL ST,42.37839561,-71.06459617,"(42.37839561, -71.06459617)"
I152049651,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,147,,2015-06-15 10:00:00,2015,6,Monday,10,Part One,COLUMBUS AVE,42.34087158,-71.08145768,"(42.34087158, -71.08145768)"
I152049583,03007,Medical Assistance,SUDDEN DEATH,E5,712,,2015-06-15 10:00:00,2015,6,Monday,10,Part Three,ROCKINGHAM AVE,42.26483265,-71.15567877,"(42.26483265, -71.15567877)"
I152051617,02007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,A1,111,,2015-06-15 10:00:00,2015,6,Monday,10,Part Two,BOYLSTON ST,,,
I152049674,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,249,,2015-06-15 10:00:00,2015,6,Monday,10,Part One,SAXTON ST,42.31359091,-71.05432387,"(42.31359091, -71.05432387)"
I152049545,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,498,,2015-06-15 10:11:00,2015,6,Monday,10,Part Three,BRADLEE ST,42.27161708,-71.11807468,"(42.27161708, -71.11807468)"
I152049587,03410,Towed,TOWED MOTOR VEHICLE,D4,151,,2015-06-15 10:19:00,2015,6,Monday,10,Part Three,CLARENDON ST,42.3467947,-71.07329384,"(42.34679470, -71.07329384)"
I152049536,03301,Verbal Disputes,VERBAL DISPUTE,D4,149,,2015-06-15 10:21:00,2015,6,Monday,10,Part Three,YARMOUTH PL,42.34635377,-71.07623785,"(42.34635377, -71.07623785)"
I152049544,02647,Other,THREATS TO DO BODILY HARM,D4,137,,2015-06-15 10:26:00,2015,6,Monday,10,Part Two,NEWBURY ST,42.34999733,-71.0810344,"(42.34999733, -71.08103440)"
I152049538,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,352,,2015-06-15 10:26:00,2015,6,Monday,10,Part Three,LEROY ST,42.30095488,-71.06537601,"(42.30095488, -71.06537601)"
I152049535,01402,Vandalism,VANDALISM,A1,111,,2015-06-15 10:30:00,2015,6,Monday,10,Part Two,TREMONT ST,42.35311007,-71.06432264,"(42.35311007, -71.06432264)"
I152056288,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,270,,2015-06-15 10:30:00,2015,6,Monday,10,Part One,HARRISON AVE,42.33455374,-71.07560801,"(42.33455374, -71.07560801)"
I152049531,02647,Other,THREATS TO DO BODILY HARM,A1,119,,2015-06-15 10:30:00,2015,6,Monday,10,Part Two,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
I152049534,02610,Other,TRESPASSING,A1,117,,2015-06-15 10:40:00,2015,6,Monday,10,Part Two,WASHINGTON ST,42.35213476,-71.06266757,"(42.35213476, -71.06266757)"
I152049564,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,C11,252,,2015-06-15 10:40:00,2015,6,Monday,10,Part Three,WILLIAM T MORRISSEY BLVD,42.30848377,-71.04578272,"(42.30848377, -71.04578272)"
I152049559,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,378,,2015-06-15 10:45:00,2015,6,Monday,10,Part Three,OAKTON AVE,42.28693375,-71.05139407,"(42.28693375, -71.05139407)"
I152049532,03410,Towed,TOWED MOTOR VEHICLE,A1,66,,2015-06-15 11:00:00,2015,6,Monday,11,Part Three,PINCKNEY ST,42.35877431,-71.07142509,"(42.35877431, -71.07142509)"
I152049605,03001,Medical Assistance,DEATH INVESTIGATION,A1,68,,2015-06-15 11:02:00,2015,6,Monday,11,Part Three,BOWDOIN ST,42.36038173,-71.06285769,"(42.36038173, -71.06285769)"
I152049553,00613,Larceny,LARCENY SHOPLIFTING,C6,186,,2015-06-15 11:02:00,2015,6,Monday,11,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I152049550,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,460,,2015-06-15 11:09:00,2015,6,Monday,11,Part Two,GLENARM ST,42.30462277,-71.07958027,"(42.30462277, -71.07958027)"
I152049542,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,329,,2015-06-15 11:10:00,2015,6,Monday,11,Part Three,BLUE HILL AVE,42.30938437,-71.08262277,"(42.30938437, -71.08262277)"
I152049621,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,, ,,2015-06-15 11:30:00,2015,6,Monday,11,Part One,NEWCOMB,,,
I152049602,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,20,,2015-06-15 11:45:00,2015,6,Monday,11,Part One,BENNINGTON ST,42.37803936,-71.0304617,"(42.37803936, -71.03046170)"
I152049562,00613,Larceny,LARCENY SHOPLIFTING,D4,138,,2015-06-15 11:45:00,2015,6,Monday,11,Part One,NEWBURY ST,42.3494205,-71.083158,"(42.34942050, -71.08315800)"
I152049557,03207,Property Found,PROPERTY - FOUND,D4,624,,2015-06-15 11:51:59,2015,6,Monday,11,Part Three,VAN NESS ST,42.34539557,-71.09823857,"(42.34539557, -71.09823857)"
I152049563,00619,Larceny,LARCENY ALL OTHERS,D4,272,,2015-06-15 11:55:00,2015,6,Monday,11,Part One,WASHINGTON ST,42.3348311,-71.07904134,"(42.33483110, -71.07904134)"
I152050262,03115,Investigate Person,INVESTIGATE PERSON,E18,494,,2015-06-15 12:00:00,2015,6,Monday,12,Part Three,CENTRAL AVE,42.26107639,-71.11938782,"(42.26107639, -71.11938782)"
I152049569,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,341,,2015-06-15 12:00:00,2015,6,Monday,12,Part Two,SPEEDWELL ST,42.30406722,-71.06760042,"(42.30406722, -71.06760042)"
I152049573,01402,Vandalism,VANDALISM,C6,178,,2015-06-15 12:00:00,2015,6,Monday,12,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I152049575,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,624,,2015-06-15 12:00:00,2015,6,Monday,12,Part One,YAWKEY WAY,42.34583312,-71.09845531,"(42.34583312, -71.09845531)"
I152049477,01402,Vandalism,VANDALISM,B3,466,,2015-06-15 12:00:00,2015,6,Monday,12,Part Two,ESTELLA ST,42.28687441,-71.09457079,"(42.28687441, -71.09457079)"
I152055635,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,165,,2015-06-15 12:00:00,2015,6,Monday,12,Part One,HARRISON AVE,42.34095802,-71.06760101,"(42.34095802, -71.06760101)"
I152049686,00617,Larceny,LARCENY THEFT FROM BUILDING,E13,303,,2015-06-15 12:00:00,2015,6,Monday,12,Part One,AMORY ST,42.32027226,-71.09932525,"(42.32027226, -71.09932525)"
I152049560,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,519,,2015-06-15 12:03:00,2015,6,Monday,12,Part Two,RIVER ST,42.25719149,-71.12001776,"(42.25719149, -71.12001776)"
I152049561,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,373,,2015-06-15 12:04:00,2015,6,Monday,12,Part Three,FREEPORT ST,42.29234068,-71.04803996,"(42.29234068, -71.04803996)"
I152049571,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D14,749,,2015-06-15 12:10:00,2015,6,Monday,12,Part Three,COMMONWEALTH AVE,42.33987101,-71.16642615,"(42.33987101, -71.16642615)"
I152049614,03502,Missing Person Located,MISSING PERSON - LOCATED,E18,533,,2015-06-15 12:15:00,2015,6,Monday,12,Part Three,READVILLE ST,42.24525124,-71.13465321,"(42.24525124, -71.13465321)"
I152049899,00619,Larceny,LARCENY ALL OTHERS,B2,329,,2015-06-15 12:15:00,2015,6,Monday,12,Part One,WASHINGTON ST,42.30576686,-71.08097517,"(42.30576686, -71.08097517)"
I152049589,03301,Verbal Disputes,VERBAL DISPUTE,D4,618,,2015-06-15 12:35:00,2015,6,Monday,12,Part Three,HEMENWAY ST,42.3414661,-71.09082781,"(42.34146610, -71.09082781)"
I152049580,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,282,,2015-06-15 12:36:00,2015,6,Monday,12,Part Three,SAINT JAMES ST,42.32690336,-71.08640085,"(42.32690336, -71.08640085)"
I152049590,03114,Investigate Property,INVESTIGATE PROPERTY,B2,294,,2015-06-15 12:42:00,2015,6,Monday,12,Part Three,SAINT JAMES ST,42.32690336,-71.08640085,"(42.32690336, -71.08640085)"
I152060549,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,D4,146,,2015-06-15 12:43:00,2015,6,Monday,12,Part One,GARRISON ST,42.34578598,-71.07942281,"(42.34578598, -71.07942281)"
I152049586,03301,Verbal Disputes,VERBAL DISPUTE,E5,682,,2015-06-15 12:45:00,2015,6,Monday,12,Part Three,BERYL ST,42.28281409,-71.13931958,"(42.28281409, -71.13931958)"
I152050285,02647,Other,THREATS TO DO BODILY HARM,C11,335,,2015-06-15 13:00:00,2015,6,Monday,13,Part Two,COLEMAN ST,42.30776342,-71.06683062,"(42.30776342, -71.06683062)"
I152049613,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E18, ,,2015-06-15 13:00:00,2015,6,Monday,13,Part Three,,,,
I152049611,03115,Investigate Person,INVESTIGATE PERSON,D4,146,,2015-06-15 13:02:00,2015,6,Monday,13,Part Three,SAINT BOTOLPH ST,42.34561901,-71.07990847,"(42.34561901, -71.07990847)"
I152060600,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E5,551,,2015-06-15 13:23:00,2015,6,Monday,13,Part Two,GLENDOWER RD,42.27562519,-71.13142204,"(42.27562519, -71.13142204)"
I152049601,00611,Larceny,LARCENY PICK-POCKET,E5,562,,2015-06-15 13:27:00,2015,6,Monday,13,Part One,WASHINGTON ST,42.28688203,-71.1276629,"(42.28688203, -71.12766290)"
I152056644,00619,Larceny,LARCENY ALL OTHERS,A1,94,,2015-06-15 13:28:00,2015,6,Monday,13,Part One,STATE ST,42.35923021,-71.0544659,"(42.35923021, -71.05446590)"
I152050208,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E5,684,,2015-06-15 13:30:00,2015,6,Monday,13,Part One,NEWBURG ST,42.28159966,-71.14351382,"(42.28159966, -71.14351382)"
I152049885,00619,Larceny,LARCENY ALL OTHERS,B2,182,,2015-06-15 13:34:00,2015,6,Monday,13,Part One,BATCHELDER ST,42.32249601,-71.0690918,"(42.32249601, -71.06909180)"
I152049596,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,470,,2015-06-15 13:40:00,2015,6,Monday,13,Part Two,COLORADO ST,42.27779311,-71.09917239,"(42.27779311, -71.09917239)"
I152049609,03115,Investigate Person,INVESTIGATE PERSON,A1,123,,2015-06-15 13:40:00,2015,6,Monday,13,Part Three,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
I152049618,03114,Investigate Property,INVESTIGATE PROPERTY,D14,757,,2015-06-15 13:42:00,2015,6,Monday,13,Part Three,BROOKS ST,42.3561377,-71.16238161,"(42.35613770, -71.16238161)"
I152049610,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2, ,,2015-06-15 13:45:00,2015,6,Monday,13,Part Two,COLUMBUS AVE,,,
I152049615,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,469,,2015-06-15 13:46:00,2015,6,Monday,13,Part Three,WALK HILL ST,42.27791465,-71.09452937,"(42.27791465, -71.09452937)"
I152049598,02663,Other,VIOLATION - CITY ORDINANCE CONSTRUCTION PERMIT,B2,237,,2015-06-15 13:47:00,2015,6,Monday,13,Part Two,COLUMBIA RD,42.3203979,-71.06181748,"(42.32039790, -71.06181748)"
I152049597,03114,Investigate Property,INVESTIGATE PROPERTY,B2,319,,2015-06-15 13:47:00,2015,6,Monday,13,Part Three,MAPLE ST,42.30901919,-71.08561179,"(42.30901919, -71.08561179)"
I152049616,03115,Investigate Person,INVESTIGATE PERSON,E13,635,,2015-06-15 13:51:00,2015,6,Monday,13,Part Three,CENTRE ST,42.31817181,-71.11257832,"(42.31817181, -71.11257832)"
